,movieId,title,genres,key,year,n_ratings,mean_rating
49,49,The Usual Suspects,Crime|Mystery|Thriller,The Usual Suspects,1995,47006,4.334372207803259
50,50,Guardian Angel,Action|Drama|Thriller,Guardian Angel,1994,27,2.5555555555555554
51,51,Mighty Aphrodite,Comedy|Drama|Romance,Mighty Aphrodite,1995,9320,3.541148068669528
52,52,Lamerica,Adventure|Drama,Lamerica,1994,150,3.6966666666666668
53,53,The Big Green,Children|Comedy,The Big Green,1995,956,2.8546025104602513
54,54,Georgia,Drama,Georgia,1995,939,3.241214057507987
55,55,Kids of the Round Table,Adventure|Children|Fantasy,Kids of the Round Table,1995,70,1.8714285714285714
56,56,Home for the Holidays,Drama,Home for the Holidays,1995,2439,3.324518245182452
57,57,"Postman, The (Postino, Il)",Comedy|Drama|Romance,"Postman, The (Postino, Il)",1994,11549,3.978396397956533
58,58,"Confessional, The (Confessionnal, Le)",Drama|Mystery,"Confessional, The (Confessionnal, Le)",1995,191,3.56020942408377
59,59,The Indian in the Cupboard,Adventure|Children|Fantasy,The Indian in the Cupboard,1995,6313,3.114446380484714
60,60,Eye for an Eye,Drama|Thriller,Eye for an Eye (1996),1996,2281,3.3231039017974573
61,61,Mr. Holland's Opus,Drama,Mr. Holland's Opus,1995,19381,3.7318249832309993
62,62,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,Comedy|Crime,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,1996,2334,3.06662382176521
63,63,Two if by Sea,Comedy|Romance,Two if by Sea,1996,2086,2.829817833173538
64,64,Bio-Dome,Comedy,Bio-Dome,1996,4864,2.3942228618421053
65,65,Lawnmower Man 2: Beyond Cyberspace,Action|Sci-Fi|Thriller,Lawnmower Man 2: Beyond Cyberspace,1996,2371,2.144242935470266
66,66,Two Bits,Drama,Two Bits,1995,170,3.35
67,67,French Twist (Gazon maudit),Comedy|Romance,French Twist (Gazon maudit),1995,1238,3.4369951534733443
68,68,Friday,Comedy,Friday,1995,4288,3.560634328358209
69,69,From Dusk Till Dawn,Action|Comedy|Horror|Thriller,From Dusk Till Dawn,1996,12712,3.2774543738200124
70,70,Fair Game,Action,Fair Game (1995),1995,1295,2.3552123552123554
71,71,Kicking and Screaming,Comedy|Drama,Kicking and Screaming,1995,1230,3.502439024390244
72,72,"Misérables, Les",Drama|War,"Misérables, Les (1995)",1995,2955,3.8067681895093064
73,73,Bed of Roses,Drama|Romance,Bed of Roses,1996,3514,3.3022196926579395
74,74,Big Bully,Comedy|Drama,Big Bully,1996,558,2.4623655913978495
75,75,Screamers,Action|Sci-Fi|Thriller,Screamers (1995),1995,3380,3.0090236686390535
76,76,Nico Icon,Documentary,Nico Icon,1995,221,3.429864253393665
77,77,The Crossing Guard,Action|Crime|Drama|Thriller,The Crossing Guard,1995,1226,3.180668841761827
78,78,The Juror,Drama|Thriller,The Juror,1996,5535,3.1285456187895213
79,79,"White Balloon, The (Badkonake sefid)",Children|Drama,"White Balloon, The (Badkonake sefid)",1995,575,3.7243478260869565
80,80,Things to Do in Denver When You're Dead,Crime|Drama|Romance,Things to Do in Denver When You're Dead,1995,3209,3.267373013399813
81,81,Antonia's Line (Antonia),Comedy|Drama,Antonia's Line (Antonia),1995,2538,4.004925137903862
82,82,Once Upon a Time... When We Were Colored,Drama|Romance,Once Upon a Time... When We Were Colored,1995,594,3.653198653198653
83,83,Last Summer in the Hamptons,Comedy|Drama,Last Summer in the Hamptons,1995,158,3.4177215189873418
84,84,Angels and Insects,Drama|Romance,Angels and Insects,1995,2714,3.531134856300663
85,85,White Squall,Action|Adventure|Drama,White Squall,1996,4308,3.483402971216342
86,86,Dunston Checks In,Children|Comedy,Dunston Checks In,1996,976,2.3596311475409837
87,87,Black Sheep,Comedy,Black Sheep (1996),1996,4864,3.1076274671052633
88,88,Nick of Time,Action|Thriller,Nick of Time,1995,3247,3.139821373575608
89,89,The Journey of August King,Drama,The Journey of August King,1995,214,3.357476635514019
90,90,Mary Reilly,Drama|Horror|Thriller,Mary Reilly,1996,2303,2.8541033434650456
91,91,Vampire in Brooklyn,Comedy|Horror|Romance,Vampire in Brooklyn,1995,1966,2.528738555442523
92,92,Beautiful Girls,Comedy|Drama|Romance,Beautiful Girls,1996,4030,3.526923076923077
93,93,Broken Arrow,Action|Adventure|Thriller,Broken Arrow (1996),1996,22104,3.0946435034382915
94,94,In the Bleak Midwinter,Comedy|Drama,In the Bleak Midwinter,1995,483,3.6873706004140785
95,95,"Hate (Haine, La)",Crime|Drama,"Hate (Haine, La)",1995,1963,3.9964340295466125
96,96,Shopping,Action|Thriller,Shopping,1994,81,2.4876543209876543
97,97,Heidi Fleiss: Hollywood Madam,Documentary,Heidi Fleiss: Hollywood Madam,1995,726,3.105371900826446
98,98,City Hall,Drama|Thriller,City Hall,1996,4115,3.22138517618469
99,99,Bottle Rocket,Adventure|Comedy|Crime|Romance,Bottle Rocket,1996,4298,3.786295951605398
100,100,Mr. Wrong,Comedy,Mr. Wrong,1996,1992,2.4294678714859437
101,101,Unforgettable,Mystery|Sci-Fi|Thriller,Unforgettable,1996,1133,3.2691968225948806
102,102,Happy Gilmore,Comedy,Happy Gilmore,1996,17915,3.4170806586659226
103,103,The Bridges of Madison County,Drama|Romance,The Bridges of Madison County,1995,9620,3.326299376299376
104,104,Nobody Loves Me (Keiner liebt mich),Comedy|Drama,Nobody Loves Me (Keiner liebt mich),1994,134,3.4440298507462686
105,105,Muppet Treasure Island,Adventure|Children|Comedy|Musical,Muppet Treasure Island,1996,6376,3.2153387703889584
106,106,Catwalk,Documentary,Catwalk,1996,125,3.092
107,107,Headless Body in Topless Bar,Comedy|Drama|Thriller,Headless Body in Topless Bar,1995,16,2.0625
108,108,Braveheart,Action|Drama|War,Braveheart,1995,53769,4.042533802004873
109,109,Taxi Driver,Crime|Drama|Thriller,Taxi Driver,1976,24481,4.110575548384461
110,110,Rumble in the Bronx (Hont faan kui),Action|Adventure|Comedy|Crime,Rumble in the Bronx (Hont faan kui),1995,11890,3.412573591253154
111,111,Before and After,Drama|Mystery,Before and After,1996,1089,3.1092745638200183
112,112,Margaret's Museum,Drama,Margaret's Museum,1995,247,3.619433198380567
113,113,"Happiness Is in the Field (Bonheur est dans le pré, Le)",Comedy,"Happiness Is in the Field (Bonheur est dans le pré, Le)",1995,38,3.4078947368421053
114,114,Anne Frank Remembered,Documentary,Anne Frank Remembered,1995,949,3.9373024236037937
115,115,The Young Poisoner's Handbook,Crime|Drama,The Young Poisoner's Handbook,1995,1264,3.589398734177215
116,116,If Lucy Fell,Comedy|Romance,If Lucy Fell,1996,1136,3.0110035211267605
117,117,"Steal Big, Steal Little",Comedy,"Steal Big, Steal Little",1995,264,2.772727272727273
118,118,Race the Sun,Adventure|Comedy|Drama,Race the Sun,1996,147,2.880952380952381
119,119,The Boys of St. Vincent,Drama,The Boys of St. Vincent,1992,837,3.7532855436081243
120,120,Boomerang,Comedy|Romance,Boomerang (1992),1992,3888,2.8676697530864197
121,121,Chungking Express (Chung Hing sam lam),Drama|Mystery|Romance,Chungking Express (Chung Hing sam lam),1994,2309,3.9692507579038545
122,122,"Star Maker, The (Uomo delle stelle, L')",Drama,"Star Maker, The (Uomo delle stelle, L')",1995,319,3.498432601880878
123,123,Flirting With Disaster,Comedy,Flirting With Disaster,1996,3518,3.7556850483229107
124,124,The NeverEnding Story III,Adventure|Children|Fantasy,The NeverEnding Story III,1994,1376,2.312136627906977
125,125,"Silences of the Palace, The (Saimt el Qusur)",Drama,"Silences of the Palace, The (Saimt el Qusur)",1994,41,3.2560975609756095
126,126,Jupiter's Wife,Documentary,Jupiter's Wife,1994,75,3.5
127,127,Pie in the Sky,Comedy|Romance,Pie in the Sky,1996,190,3.163157894736842
128,128,Angela,Drama,Angela,1995,39,3.1153846153846154
129,129,Frankie Starlight,Drama|Romance,Frankie Starlight,1995,194,3.2912371134020617
130,130,Jade,Thriller,Jade,1995,2123,2.773198304286387
131,131,Nueba Yol,Comedy|Drama,Nueba Yol,1995,19,2.6052631578947367
132,132,Sonic Outlaws,Documentary,Sonic Outlaws,1995,36,3.6527777777777777
133,133,Down Periscope,Comedy,Down Periscope,1996,6305,2.9980174464710547
134,134,From the Journals of Jean Seberg,Documentary,From the Journals of Jean Seberg,1995,102,3.549019607843137
135,135,Man of the Year,Documentary,Man of the Year (1995),1995,226,3.2853982300884956
136,136,The Neon Bible,Drama,The Neon Bible,1995,137,3.2846715328467155
137,137,Target,Action|Drama,Target (1995),1995,41,3.073170731707317
138,138,Up Close and Personal,Drama|Romance,Up Close and Personal,1996,5073,3.2938103686181748
139,139,The Birdcage,Comedy,The Birdcage,1996,22020,3.5122161671207994
140,140,Shadows (Cienie),Drama,Shadows (Cienie),1988,41,3.0609756097560976
141,141,Gospa,Drama,Gospa,1995,14,2.142857142857143
142,142,The Brothers McMullen,Comedy,The Brothers McMullen,1995,4505,3.4771365149833517
143,143,Bad Boys,Action|Comedy|Crime|Drama|Thriller,Bad Boys (1995),1995,11975,3.2507724425887266
144,144,The Amazing Panda Adventure,Adventure|Children,The Amazing Panda Adventure,1995,580,2.9120689655172414
145,145,The Basketball Diaries,Drama,The Basketball Diaries,1995,4118,3.5829286061194754
146,146,An Awfully Big Adventure,Drama,An Awfully Big Adventure,1995,357,2.8893557422969187
147,147,Amateur,Crime|Drama|Thriller,Amateur,1994,1091,3.6943171402383133
148,148,Apollo 13,Adventure|Drama|IMAX,Apollo 13,1995,47777,3.86859786089541
149,149,Rob Roy,Action|Drama|Romance|War,Rob Roy,1995,12616,3.539037729866836
150,150,The Addiction,Drama|Horror,The Addiction,1995,651,3.1044546850998462
151,151,Batman Forever,Action|Adventure|Comedy|Crime,Batman Forever,1995,32867,2.894727234003712
152,152,Beauty of the Day (Belle de jour),Drama,Beauty of the Day (Belle de jour),1967,3010,3.8019933554817276
153,153,Beyond Rangoon,Adventure|Drama|War,Beyond Rangoon,1995,1276,3.4079153605015673
154,154,Blue in the Face,Comedy|Drama,Blue in the Face,1995,1663,3.5279615153337343
155,155,Canadian Bacon,Comedy|War,Canadian Bacon,1995,2596,2.7846687211093992
156,156,Casper,Adventure|Children,Casper,1995,12625,2.932
157,157,Clockers,Crime|Drama|Mystery,Clockers,1995,2366,3.4169484361792053
158,158,Congo,Action|Adventure|Mystery|Sci-Fi,Congo,1995,14965,2.6047444036084197
159,159,Crimson Tide,Drama|Thriller|War,Crimson Tide,1995,23628,3.744201794481124
160,160,Crumb,Documentary,Crumb,1994,5995,4.009924937447873
161,161,Desperado,Action|Romance|Western,Desperado,1995,14321,3.445394874659591
162,162,Devil in a Blue Dress,Crime|Film-Noir|Mystery|Thriller,Devil in a Blue Dress,1995,4435,3.46358511837655
163,163,Die Hard: With a Vengeance,Action|Crime|Thriller,Die Hard: With a Vengeance,1995,33940,3.4890247495580438
164,164,The Doom Generation,Comedy|Crime|Drama,The Doom Generation,1995,650,2.787692307692308
165,165,Feast of July,Drama,Feast of July,1995,79,3.1645569620253164
166,166,First Knight,Action|Drama|Romance,First Knight,1995,12084,3.084698775239987
167,167,Free Willy 2: The Adventure Home,Adventure|Children|Drama,Free Willy 2: The Adventure Home,1995,3358,2.283650982727814
168,168,Hackers,Action|Adventure|Crime|Thriller,Hackers,1995,7875,3.1975873015873018
169,169,Jeffrey,Comedy|Drama,Jeffrey,1995,1427,3.6030133146461107
170,170,Johnny Mnemonic,Action|Sci-Fi|Thriller,Johnny Mnemonic,1995,12706,2.7326066425310875
171,171,Judge Dredd,Action|Crime|Sci-Fi,Judge Dredd,1995,14993,2.5382845327819648
172,172,Jury Duty,Comedy,Jury Duty,1995,2124,2.455979284369115
173,173,Kids,Drama,Kids,1995,4801,3.507602582795251
174,174,Living in Oblivion,Comedy,Living in Oblivion,1995,2363,3.854633939906898
175,175,Lord of Illusions,Horror,Lord of Illusions,1995,2314,2.8859118409680207
176,176,Love & Human Remains,Comedy|Drama,Love & Human Remains,1993,500,3.388
177,177,Mad Love,Drama|Romance,Mad Love (1995),1995,1229,2.7506102522375917
178,178,Mallrats,Comedy|Romance,Mallrats,1995,8400,3.5872619047619048
179,179,Mighty Morphin Power Rangers: The Movie,Action|Children,Mighty Morphin Power Rangers: The Movie,1995,2655,1.9290018832391713
180,180,Moonlight and Valentino,Drama|Romance,Moonlight and Valentino,1995,697,3.091822094691535
181,181,Mute Witness,Comedy|Horror|Thriller,Mute Witness,1994,614,3.3648208469055376
182,182,Nadja,Drama,Nadja,1994,328,3.1036585365853657
183,183,The Net,Action|Crime|Thriller,The Net,1995,24618,3.1104273295962304
184,184,Nine Months,Comedy|Romance,Nine Months,1995,11222,2.891730529317412
185,185,Party Girl,Comedy,Party Girl (1995),1995,943,3.451219512195122
186,186,The Prophecy,Fantasy|Horror|Mystery,The Prophecy,1995,2498,3.342473979183347
187,187,Reckless,Comedy|Fantasy,Reckless (1995),1995,336,3.0014880952380953
188,188,Safe,Thriller,Safe (1995),1995,960,3.566145833333333
189,189,The Scarlet Letter,Drama|Romance,"Scarlet Letter, The (1995)",1995,1664,2.676081730769231
190,190,The Show,Documentary,The Show,1995,81,3.0246913580246915
191,191,Showgirls,Drama,Showgirls,1995,7464,2.2340568060021435
192,192,Smoke,Comedy|Drama,Smoke,1995,5937,3.84967155128853
193,193,Something to Talk About,Comedy|Drama|Romance,Something to Talk About,1995,3242,3.0894509561998764
194,194,Species,Horror|Sci-Fi,Species,1995,13628,2.8502714998532435
195,195,The Stars Fell on Henrietta,Drama,The Stars Fell on Henrietta,1995,110,3.0681818181818183
196,196,Strange Days,Action|Crime|Drama|Mystery|Sci-Fi|Thriller,Strange Days,1995,9143,3.4170950453899156
197,197,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les)",Drama|Musical|Romance,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les)",1964,1516,3.783641160949868
198,198,The Tie That Binds,Thriller,The Tie That Binds,1995,339,2.836283185840708
199,199,Three Wishes,Drama|Fantasy,Three Wishes,1995,365,3.0273972602739727
200,200,Total Eclipse,Drama|Romance,Total Eclipse,1995,389,2.9832904884318765
201,201,"To Wong Foo, Thanks for Everything! Julie Newmar",Comedy,"To Wong Foo, Thanks for Everything! Julie Newmar",1995,5429,3.1474488856142937
202,202,Under Siege 2: Dark Territory,Action,Under Siege 2: Dark Territory,1995,8335,2.949130173965207
203,203,Unstrung Heroes,Comedy|Drama,Unstrung Heroes,1995,1355,3.5158671586715866
204,204,Unzipped,Documentary,Unzipped,1995,1038,3.4783236994219653
205,205,A Walk in the Clouds,Drama|Romance,A Walk in the Clouds,1995,5414,3.371536756557074
206,206,Waterworld,Action|Adventure|Sci-Fi,Waterworld,1995,27775,2.8520972097209722
207,207,White Man's Burden,Drama,White Man's Burden,1995,745,2.835570469798658
208,208,Wild Bill,Western,Wild Bill (1995),1995,482,2.8890041493775933
209,209,The Browning Version,Drama,"Browning Version, The (1994)",1994,579,3.5958549222797926
210,210,Bushwhacked,Adventure|Comedy|Crime|Mystery,Bushwhacked,1995,447,2.5782997762863533
211,211,Burnt by the Sun (Utomlyonnye solntsem),Drama,Burnt by the Sun (Utomlyonnye solntsem),1994,1872,4.038461538461538
212,212,Before the Rain (Pred dozhdot),Drama|War,Before the Rain (Pred dozhdot),1994,942,4.04723991507431
213,213,Before Sunrise,Drama|Romance,Before Sunrise,1995,5348,3.838911742707554
214,214,Billy Madison,Comedy,Billy Madison,1995,8547,3.2602082602082603
215,215,The Babysitter,Drama|Thriller,The Babysitter,1995,1014,2.730276134122288
216,216,Boys on the Side,Comedy|Drama,Boys on the Side,1995,4248,3.2934322033898304
217,217,The Cure,Drama,"Cure, The (1995)",1995,633,3.6248025276461298
218,218,Castle Freak,Horror,Castle Freak,1995,275,2.401818181818182
219,219,Circle of Friends,Drama|Romance,Circle of Friends,1995,5968,3.5371983914209117
220,220,Clerks,Comedy,Clerks,1994,23695,3.8695505380882045
221,221,Don Juan DeMarco,Comedy|Drama|Romance,Don Juan DeMarco,1995,8581,3.4445868779862487
222,222,Disclosure,Drama|Thriller,Disclosure,1994,12662,3.2883035855315117
223,223,Dream Man,Thriller,Dream Man,1995,43,2.8372093023255816
224,224,Drop Zone,Action|Thriller,Drop Zone,1994,4640,3.06875
225,225,Destiny Turns on the Radio,Comedy,Destiny Turns on the Radio,1995,475,2.6873684210526316
226,226,Death and the Maiden,Drama|Thriller,Death and the Maiden,1994,2428,3.562808896210873
227,227,Dolores Claiborne,Drama|Thriller,Dolores Claiborne,1995,7284,3.5911587040087865
228,228,Dumb & Dumber (Dumb and Dumber),Adventure|Comedy,Dumb & Dumber (Dumb and Dumber),1994,32085,2.9524700015583605
229,229,Eat Drink Man Woman (Yin shi nan nu),Comedy|Drama|Romance,Eat Drink Man Woman (Yin shi nan nu),1994,6150,4.035609756097561
230,230,Exotica,Drama,Exotica,1994,3478,3.523720529039678
231,231,Exit to Eden,Comedy,Exit to Eden,1994,3269,2.679718568369532
232,232,Ed Wood,Comedy|Drama,Ed Wood,1994,16419,3.6636518667397526
233,233,French Kiss,Action|Comedy|Romance,French Kiss,1995,12215,3.3153499795333605
234,234,Forget Paris,Comedy|Romance,Forget Paris,1995,6422,3.22454064154469
235,235,Far From Home: The Adventures of Yellow Dog,Adventure|Children,Far From Home: The Adventures of Yellow Dog,1995,834,3.1690647482014387
236,236,A Goofy Movie,Animation|Children|Comedy|Romance,A Goofy Movie,1995,3178,3.0547514159848963
237,237,Hideaway,Thriller,Hideaway (1995),1995,837,2.9097968936678615
238,238,Fluke,Children|Drama,Fluke,1995,562,3.0320284697508897
239,239,Farinelli: il castrato,Drama|Musical,Farinelli: il castrato,1994,1076,3.386617100371747
240,240,Gordy,Children|Comedy|Fantasy,Gordy,1995,439,2.530751708428246
241,241,Gumby: The Movie,Animation|Children,Gumby: The Movie,1995,285,2.380701754385965
242,242,The Glass Shield,Crime|Drama,The Glass Shield,1994,255,2.976470588235294
243,243,Hoop Dreams,Documentary,Hoop Dreams,1994,10432,4.042896855828221
244,244,Heavenly Creatures,Crime|Drama,Heavenly Creatures,1994,7681,3.840450462179404
245,245,Houseguest,Comedy,Houseguest,1994,3161,3.0256248022777603
246,246,Immortal Beloved,Drama|Romance,Immortal Beloved,1994,4950,3.682121212121212
247,247,Heavyweights (Heavy Weights),Children|Comedy,Heavyweights (Heavy Weights),1995,892,2.9854260089686098
248,248,The Hunted,Action,"Hunted, The (1995)",1995,388,3.0502577319587627
249,249,I.Q.,Comedy|Romance,I.Q.,1994,10074,3.2227020051618025
250,250,Interview with the Vampire: The Vampire Chronicles,Drama|Horror,Interview with the Vampire: The Vampire Chronicles,1994,27568,3.4966446604759143
251,251,Jefferson in Paris,Drama,Jefferson in Paris,1995,629,2.8934817170111287
252,252,The Jerky Boys,Comedy,The Jerky Boys,1995,1081,2.287696577243293
253,253,Junior,Comedy|Sci-Fi,Junior,1994,9890,2.7282103134479274
254,254,Just Cause,Mystery|Thriller,Just Cause,1995,3811,3.412883757543952
255,255,A Kid in King Arthur's Court,Adventure|Children|Comedy|Fantasy|Romance,A Kid in King Arthur's Court,1995,1710,2.6467836257309942
256,256,Kiss of Death,Crime|Drama|Thriller,Kiss of Death (1995),1995,1996,3.0756513026052104
257,257,Star Wars: Episode IV - A New Hope,Action|Adventure|Sci-Fi,Star Wars: Episode IV - A New Hope,1977,54502,4.190671901948552
258,258,Little Women,Drama,Little Women (1994),1994,10367,3.628918684286679
259,259,A Little Princess,Children|Drama,A Little Princess,1995,4217,3.776025610623666
260,260,Ladybird Ladybird,Drama,Ladybird Ladybird,1994,395,3.731645569620253
261,261,"Enfer, L'",Drama,"Enfer, L'",1994,159,3.3459119496855347
262,262,Like Water for Chocolate (Como agua para chocolate),Drama|Fantasy|Romance,Like Water for Chocolate (Como agua para chocolate),1992,11975,3.9272651356993737
263,263,Legends of the Fall,Drama|Romance|War|Western,Legends of the Fall,1994,16171,3.496258734772123
264,264,Major Payne,Comedy,Major Payne,1995,3792,2.878428270042194
265,265,Little Odessa,Crime|Drama,Little Odessa,1994,728,3.3070054945054945
266,266,My Crazy Life (Mi vida loca),Drama,My Crazy Life (Mi vida loca),1993,600,3.4775
267,267,Love Affair,Drama|Romance,Love Affair (1994),1994,1315,3.173764258555133
268,268,Losing Isaiah,Drama,Losing Isaiah,1995,1257,3.3305489260143197
269,269,The Madness of King George,Comedy|Drama,The Madness of King George,1994,7871,3.751746919070004
270,270,Mary Shelley's Frankenstein (Frankenstein),Drama|Horror|Sci-Fi,Mary Shelley's Frankenstein (Frankenstein),1994,7424,3.135035021551724
271,271,Man of the House,Comedy,Man of the House (1995),1995,1181,2.871295512277731
272,272,Mixed Nuts,Comedy,Mixed Nuts,1994,1564,2.7247442455242967
273,273,Milk Money,Comedy|Romance,Milk Money,1994,5459,2.9862612200036636
274,274,Miracle on 34th Street,Drama,Miracle on 34th Street (1994),1994,9140,3.42335886214442
275,275,Miami Rhapsody,Comedy,Miami Rhapsody,1995,1157,3.0216076058772687
276,276,My Family,Drama,My Family,1995,936,3.699786324786325
277,277,Murder in the First,Drama|Thriller,Murder in the First,1995,5104,3.725705329153605
278,278,Nobody's Fool,Comedy|Drama|Romance,Nobody's Fool (1994),1994,3936,3.6704776422764227
279,279,Nell,Drama,Nell,1994,11249,3.420970752955818
280,280,New Jersey Drive,Crime|Drama,New Jersey Drive,1995,232,3.0797413793103448
281,281,New York Cop (Nyû Yôku no koppu),Action|Crime,New York Cop (Nyû Yôku no koppu),1993,36,2.888888888888889
282,282,Beyond Bedlam,Drama|Horror,Beyond Bedlam,1993,86,2.3313953488372094
283,283,Nemesis 2: Nebula,Action|Sci-Fi|Thriller,Nemesis 2: Nebula,1995,109,2.041284403669725
284,284,Nina Takes a Lover,Comedy|Romance,Nina Takes a Lover,1994,329,3.24468085106383
285,285,Natural Born Killers,Action|Crime|Thriller,Natural Born Killers,1994,23610,3.230347310461669
286,286,Only You,Comedy|Romance,Only You,1994,3192,3.346021303258145
287,287,Once Were Warriors,Crime|Drama,Once Were Warriors,1994,4042,3.995299356754082
288,288,Poison Ivy II,Drama|Thriller,Poison Ivy II,1996,656,2.276676829268293
289,289,Outbreak,Action|Drama|Sci-Fi|Thriller,Outbreak,1995,26246,3.414367903680561
290,290,Léon: The Professional (a.k.a. The Professional) (Léon),Action|Crime|Drama|Thriller,Léon: The Professional (a.k.a. The Professional) (Léon),1994,25804,4.050573554487676
291,291,The Perez Family,Comedy|Romance,The Perez Family,1995,851,3.1762632197414806
292,292,A Pyromaniac's Love Story,Comedy|Romance,A Pyromaniac's Love Story,1995,469,2.7974413646055436
293,293,Pulp Fiction,Comedy|Crime|Drama|Thriller,Pulp Fiction,1994,67310,4.174231169217055
294,294,Panther,Drama,Panther,1995,266,3.1146616541353382
295,295,Pushing Hands (Tui shou),Drama,Pushing Hands (Tui shou),1992,244,3.5040983606557377
296,296,Priest,Drama,Priest (1994),1994,2626,3.728865194211729
297,297,Quiz Show,Drama,Quiz Show,1994,20601,3.666690937333139
298,298,Picture Bride (Bijo photo),Drama|Romance,Picture Bride (Bijo photo),1994,469,3.5277185501066097
